;Overall score ;Rank;Electoral process ;Functioning of government ;Political participation ;Political culture ;Civil liberties 
Full democracies ;;;;;;;
Norway ;9.93;1.00;10.00;9.64;10.00;10.00;10.00
Sweden ;9.73;2.00;9.58;9.64;9.44;10.00;10.00
Iceland ;9.65;3.00;10.00;9.64;8.89;10.00;9.71
Denmark ;9.38;4.00;9.58;9.64;8.89;9.38;9.41
New Zealand ;9.26;5.00;10.00;9.29;8.89;8.13;10.00
Australia ;9.13;6.00;9.58;8.93;7.78;9.38;10.00
Switzerland ;9.09;7.00;9.58;9.29;7.78;9.38;9.41
Canada ;9.08;8.00;9.58;9.29;7.78;8.75;10.00
Finland ;9.03;9.00;10.00;8.93;7.78;8.75;9.71
Luxembourg ;8.88;10.00;10.00;9.29;6.67;8.75;9.71
Netherlands ;8.84;11.00;9.58;8.21;8.89;8.13;9.41
Ireland ;8.68;12.00;9.58;7.86;7.22;8.75;10.00
Austria ;8.48;13.00;9.58;7.50;7.78;8.13;9.41
United Kingdom ;8.31;14.00;9.58;7.14;6.67;8.75;9.41
Germany ;8.31;15.00;9.58;7.50;7.22;8.13;9.12
Malta ;8.28;16.00;9.17;8.21;5.56;8.75;9.71
Uruguay ;8.17;17.00;10.00;8.93;4.44;7.50;10.00
Mauritius ;8.17;17.00;9.17;8.21;5.00;8.75;9.71
USA ;8.11;19.00;9.17;7.50;7.22;8.13;8.53
Japan ;8.08;20.00;9.17;8.21;6.11;7.50;9.41
Czech Republic ;8.06;21.00;9.58;7.14;6.67;7.50;9.41
South Korea ;8.06;21.00;9.17;7.86;7.22;7.50;8.53
Belgium ;8.05;23.00;9.58;8.21;5.56;7.50;9.41
Costa Rica ;8.03;24.00;9.58;7.86;6.11;6.88;9.71
Spain ;8.02;25.00;9.58;7.50;6.11;7.50;9.41
Flawed democracies ;;;;;;;
Botswana;7.98;26.00;9.17;7.14;6.67;7.50;9.41
France;7.92;27.00;9.58;6.79;7.22;7.50;8.53
Cape Verde;7.92;27.00;9.17;7.86;7.22;6.25;9.12
South Africa;7.90;29.00;8.75;8.21;7.78;6.25;8.53
Slovenia;7.88;30.00;9.58;7.50;7.22;6.25;8.82
Italy;7.85;31.00;9.58;6.43;7.22;7.50;8.53
Chile;7.80;32.00;9.58;8.93;3.89;6.88;9.71
India;7.69;33.00;9.58;7.14;6.67;5.63;9.41
Greece;7.65;34.00;9.58;5.71;6.67;6.88;9.41
Portugal;7.65;34.00;9.58;5.71;6.67;6.88;9.41
Estonia;7.61;36.00;9.58;7.14;5.00;7.50;8.82
Taiwan;7.57;37.00;9.58;7.14;6.11;5.63;9.41
