Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Afghanistan,AFG,7.466,7.485,5.562,5.359,5.163,4.976,4.8,4.633,4.473,4.321,4.176,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Albania,ALB,2.978,2.157,1.684,1.69,1.688,1.677,1.659,1.638,1.617,1.597,1.58,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Algeria,DZA,4.726,2.514,2.952,2.99,3.022,3.043,3.052,3.045,3.023,2.988,2.942,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Angola,AGO,7.272,6.639,6.039,5.953,5.864,5.774,5.686,5.6,5.519,5.442,5.371,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Antigua and Barbuda,ATG,2.067,2.2,1.993,1.998,2.001,2.003,2.003,1.999,1.994,1.987,1.978,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Argentina,ARG,2.997,2.542,2.33,2.322,2.312,2.301,2.288,2.275,2.261,2.247,2.233,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Armenia,ARM,2.544,1.648,1.725,1.728,1.732,1.738,1.744,1.75,1.755,1.758,1.76,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Aruba,ABW,2.249,1.872,1.795,1.813,1.834,1.854,1.872,1.886,1.896,1.901,1.901,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Australia,AUS,1.902,1.756,1.92,1.855,1.826,1.814,1.752,1.741,1.74,1.657,1.581,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Austria,AUT,1.46,1.36,1.44,1.44,1.46,1.49,1.53,1.52,1.47,1.46,1.44,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Azerbaijan,AZE,2.74,2,2,1.98,1.97,1.94,1.9,1.75,1.73,1.81,1.7,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Bahamas, The",BHS,2.64,2.073,1.828,1.81,1.794,1.782,1.771,1.762,1.752,1.743,1.733,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bahrain,BHR,3.732,2.795,2.118,2.098,2.078,2.056,2.033,2.01,1.987,1.964,1.942,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bangladesh,BGD,4.495,3.169,2.228,2.188,2.152,2.12,2.09,2.062,2.036,2.011,1.987,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Barbados,BRB,1.74,1.775,1.645,1.63,1.62,1.614,1.613,1.615,1.619,1.623,1.628,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belarus,BLR,1.913,1.317,1.62,1.668,1.696,1.724,1.733,1.541,1.448,1.382,1.382,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belgium,BEL,1.62,1.67,1.8,1.76,1.74,1.7,1.68,1.65,1.62,1.6,1.55,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belize,BLZ,4.508,3.601,2.588,2.539,2.489,2.439,2.391,2.346,2.307,2.274,2.246,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Benin,BEN,6.744,5.962,5.246,5.183,5.116,5.047,4.977,4.906,4.836,4.767,4.7,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bermuda,BMU,..,1.74,1.6,1.6,1.4,1.4,1.4,1.4,1.3,1.3,1.3,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bhutan,BTN,5.493,3.515,2.159,2.107,2.067,2.037,2.014,1.994,1.975,1.954,1.931,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bolivia,BOL,4.89,4.051,3.076,3.01,2.947,2.886,2.829,2.777,2.73,2.688,2.651,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bosnia and Herzegovina,BIH,1.772,1.497,1.313,1.309,1.303,1.296,1.286,1.276,1.265,1.254,1.243,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Botswana,BWA,4.485,3.304,3.011,3.002,2.988,2.968,2.942,2.91,2.874,2.836,2.796,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Brazil,BRA,2.902,2.3,1.771,1.764,1.758,1.753,1.747,1.739,1.73,1.719,1.706,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Brunei Darussalam,BRN,3.29,2.346,1.973,1.978,1.969,1.947,1.915,1.881,1.848,1.819,1.796,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Bulgaria,BGR,1.82,1.26,1.5,1.48,1.53,1.53,1.54,1.56,1.56,1.58,1.56,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Burkina Faso,BFA,7.007,6.592,5.693,5.606,5.521,5.436,5.353,5.271,5.189,5.109,5.029,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Burundi,BDI,7.405,6.92,5.994,5.897,5.797,5.697,5.599,5.502,5.41,5.321,5.237,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cabo Verde,CPV,5.392,3.539,2.5,2.463,2.425,2.385,2.346,2.309,2.274,2.242,2.213,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cambodia,KHM,5.601,3.805,2.739,2.682,2.633,2.593,2.559,2.53,2.503,2.478,2.453,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cameroon,CMR,6.436,5.58,4.984,4.916,4.847,4.777,4.708,4.639,4.572,4.506,4.443,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Canada,CAN,1.83,1.51,1.62,1.6,1.61,1.6,1.59,1.54,1.5,1.47,1.4,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central African Republic,CAF,5.811,5.5,5.123,5.068,5.007,4.941,4.87,4.796,4.721,4.645,4.568,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Chad,TCD,7.313,7.354,6.372,6.262,6.154,6.049,5.947,5.846,5.747,5.649,5.553,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Channel Islands,CHI,1.483,1.526,1.58,1.569,1.556,1.541,1.527,1.516,1.51,1.509,1.512,..
