code,country,country.x,corru,country.x,genero,country.y,urban,country.y,scoremilitar,Growth,demo,Unaffiliated,gini,IDH,civil
AGO,Angola,Angola,29,Angola,0.537,Angola,66.825,Angola,223.181325646921,0.7,3.35,0.051,0.427155149878257,0.581,4
ALB,Albania,Albania,35,Albania,0.144,Albania,62.112,Albania,143.023457536197,8.5,5.67,0.014,0.337362987161354,0.785,8
ARG,Argentina,Argentina,38,Argentina,0.287,Argentina,92.111,Argentina,107.111933688411,10.2,6.84,0.122,0.297099847661435,0.825,7
ARM,Armenia,Armenia,49,Armenia,0.216,Armenia,63.313,Armenia,377.235039218008,5.7,4.02,0.013,0.325479483558384,0.755,6
AZE,Azerbaijan,Azerbaijan,30,Azerbaijan,0.294,Azerbaijan,56.397,Azerbaijan,389.170844838465,5.6,3.06,0.001,0.265549077050305,0.757,3
BDI,Burundi,Burundi,19,Burundi,0.505,Burundi,13.708,Burundi,190.584266768492,2.4,3.41,0.001,0.386248187135587,0.417,2
BEN,Benin,Benin,42,Benin,0.602,Benin,48.415,Benin,100.635224245306,6.6,5.87,0.05,0.47755914122309,0.515,7
BFA,Burkina Faso,Burkina Faso,42,Burkina Faso,0.621,Burkina Faso,30.607,Burkina Faso,170.954640389024,6.9,4.15,0.004,0.353012275454674,0.423,4
BGD,Bangladesh,Bangladesh,26,Bangladesh,0.53,Bangladesh,38.177,Bangladesh,135.62760269996,5,5.86,0.001,0.323852725196153,0.608,3
BGR,Bulgaria,Bulgaria,42,Bulgaria,0.21,Bulgaria,75.686,Bulgaria,194.19491724489,4.2,6.83,0.042,0.405910637107409,0.813,7
BLR,Belarus,Belarus,41,Belarus,0.104,Belarus,79.483,Belarus,269.223301805911,2.3,3.04,0.286,0.253066161718891,0.808,2
BOL,Bolivia,Bolivia,30,Bolivia (Plurinational State of),0.418,Bolivia,70.123,Bolivia,174.088469930164,6.1,5.79,0.041,0.452506611205285,0.693,6
BRA,Brazil,Brazil,38,Brazil,0.39,Brazil,87.073,Brazil,129.630188793101,4.6,7.12,0.079,0.533428448323977,0.759,5
BWA,Botswana,Botswana,55,Botswana,0.468,Botswana,70.877,Botswana,284.901908689674,12.5,7.98,0.206,0.533250267327655,0.717,8
CAF,Central African Republic,Central African Republic,24,Central African Republic,0.672,Central African Republic,42.198,Central African Republic,162.76450734643,1,1.49,0.01,0.562366081794087,0.367,3
CHL,Chile,Chile,67,Chile,0.187,Chile,87.727,Chile,195.34879751212,11.7,7.8,0.086,0.443713276726329,0.843,8
CHN,China,China,45,China,0.192,China,61.428,China,149.892632370275,8.1,3,0.522,0.384805186356307,0.752,2
CMR,Cameroon,Cameroon,27,Cameroon,0.565,Cameroon,57.56,Cameroon,104.260939306602,3.5,3.41,0.053,0.466408737571433,0.556,3
COG,Congo,Congo,21,Congo,0.564,"Congo, Rep.",67.829,"Congo, Republic of",288.94491687057,-0.2,2.89,0.09,0.489386705359357,0.606,2
COL,Colombia,Colombia,39,Colombia,0.424,Colombia,81.425,Colombia,196.232534755343,10.6,6.55,0.066,0.505706771005388,0.747,5
CRI,Costa Rica,Costa Rica,58,Costa Rica,0.256,Costa Rica,80.771,Costa Rica,12.3102315897645,7.6,8.03,0.079,0.487060655746617,0.794,9
DOM,Dominican Republic,Dominican Republic,30,Dominican Republic,0.429,Dominican Republic,82.54,Dominican Republic,98.4220526447245,12.3,6.74,0.109,0.457239171100963,0.736,6
DZA,Algeria,Algeria,33,Algeria,0.499,Algeria,73.733,Algeria,334.63916395033,4,3.83,0.018,0.276157309162369,0.754,5
EGY,Egypt,Egypt,33,Egypt,0.443,"Egypt, Arab Rep.",42.783,Egypt,225.307945484353,3.3,3.27,0.001,0.318233581302805,0.696,2
EST,Estonia,Estonia,74,Estonia,0.1,Estonia,69.229,Estonia,247.716353438861,8.3,7.61,0.596,0.311968259270128,0.871,10
ETH,Ethiopia,Ethiopia,39,Ethiopia,0.52,Ethiopia,21.695,Ethiopia,110.352833223951,6.3,3.83,0.001,0.349931232312342,0.463,2
GAB,Gabon,Gabon,31,Gabon,0.541,Gabon,90.092,Gabon,213.333832849885,0.9,3.76,0.056,0.421849863672692,0.702,4
GEO,Georgia,Georgia,55,Georgia,0.28,Georgia,59.453,Georgia,218.459702756305,10.4,5.95,0.007,0.366396488539209,0.78,7
GHA,Ghana,Ghana,43,Ghana,0.529,Ghana,57.349,Ghana,80.6796112420467,4.2,6.33,0.042,0.435208789847024,0.592,7
GIN,Guinea,Guinea,25,Guinea,0.621,Guinea,36.875,Guinea,155.863683029041,4.2,2.84,0.018,0.33729704648826,0.459,4
GMB,Gambia,Gambia,37,Gambia,0.611,"Gambia, The",62.582,Gambia,107.327406167079,5.6,3.31,0.001,0.359188309756513,0.46,6
GTM,Guatemala,Guatemala,25,Guatemala,0.481,Guatemala,51.836,Guatemala,93.1256270300981,8,5.81,0.041,0.482785894912133,0.65,4
HND,Honduras,Honduras,23,Honduras,0.431,Honduras,58.359,Honduras,143.229732668003,12.5,5.84,0.105,0.498118601604645,0.617,4
HRV,Croatia,Croatia,47,Croatia,0.093,Croatia,57.553,Croatia,219.872923207157,10.4,6.93,0.051,0.308997256252594,0.831,8
HTI,Haiti,Haiti,20,Haiti,0.635,Haiti,57.088,Haiti,3.14744970984809,-1.8,3.94,0.106,0.411037737316942,0.498,3
HUN,Hungary,Hungary,43,Hungary,0.221,Hungary,71.942,Hungary,176.194735661695,7.1,6.96,0.186,0.303276185489013,0.838,6
IDN,Indonesia,Indonesia,38,Indonesia,0.444,Indonesia,56.641,Indonesia,119.690595325806,3.7,6.82,0.001,0.393002780658841,0.694,6
IND,India,India,40,India,0.49,India,34.926,India,190.74006530463,8.9,7.69,0.001,0.347732335554877,0.64,5
IRN,Iran,Iran,25,Iran (Islamic Republic of),0.459,"Iran, Islamic Rep.",75.874,Iran,226.530388840284,4,1.98,0.001,0.399651966719253,0.798,2
IRQ,Iraq,Iraq,23,Iraq,0.558,Iraq,70.893,Iraq,302.85886714453,5.9,4.1,0.001,0.295418569566027,0.685,3
JAM,Jamaica,Jamaica,44,Jamaica,0.335,Jamaica,56.311,Jamaica,133.801220319142,4.4,7.39,0.172,0.454574743662285,0.732,7
JOR,Jordan,Jordan,49,Jordan,0.471,Jordan,91.418,Jordan,344.379265335302,2,3.76,0.001,0.336557303109807,0.735,5
KAZ,Kazakhstan,Kazakhstan,37,Kazakhstan,0.161,Kazakhstan,57.671,Kazakhstan,202.402215697043,4,3.06,0.042,0.272253251234916,0.8,4
KEN,Kenya,Kenya,30,Kenya,0.506,Kenya,27.995,Kenya,111.878007169302,7.2,5.13,0.025,0.407757725336116,0.59,6
LBR,Liberia,Liberia,29,Liberia,0.648,Liberia,52.089,Liberia,112.704628045356,4.2,4.95,0.014,0.352654611897347,0.435,6
LKA,Sri Lanka,Sri Lanka,37,Sri Lanka,0.383,Sri Lanka,18.713,Sri Lanka,224.002748766756,3.6,5.69,0.001,0.393457733570216,0.77,6
LSO,Lesotho,Lesotho,38,Lesotho,0.557,Lesotho,29.028,Lesotho,96.9880701199289,2.1,6.66,0.031,0.515749235542191,0.52,6
LTU,Lithuania,Lithuania,61,Lithuania,0.105,Lithuania,68.046,Lithuania,244.910569680082,4.9,7.54,0.1,0.383912060360641,0.858,9
LVA,Latvia,Latvia,59,Latvia,0.151,Latvia,68.315,Latvia,187.284008429715,4.7,7.05,0.438,0.343296299026705,0.847,9
MAR,Morocco,Morocco,39,Morocco,0.425,Morocco,63.532,Morocco,297.937299651985,7.2,4.07,0.001,0.395485087011562,0.667,4
